,date,id,price,bedrooms,sqft_living,sqft_lot,waterfront,view,condition,zipcode,lat,long,renovated,basement,multilevel,bedrooms_bin,bathrooms_bin,grade_bin,age,month,yr_quarter
33,2014-11-10,7589200193,535000.0,3,1090,3000,0.0,0,4,98117,47.6889,-122.375,0,0,1,3,0.5-1.75,good,92,11,4
34,2014-12-03,7955080270,322500.0,4,2060,6659,0.0,0,3,98058,47.4276,-122.15700000000001,0,1,0,4,2.75_more,average,40,12,4
35,2014-06-13,9547205180,696000.0,3,2300,3060,0.0,0,3,98115,47.6827,-122.31,1,1,1,3,2-2.5,good,91,6,2
36,2014-05-28,9435300030,550000.0,4,1660,34848,0.0,0,1,98052,47.6621,-122.132,0,1,0,4,0.5-1.75,below_average,88,5,2
37,2014-12-30,2768000400,640000.0,4,2360,6000,0.0,0,4,98107,47.6702,-122.36200000000001,0,0,1,4,2-2.5,good,117,12,4
38,2015-02-13,7895500070,240000.0,4,1220,8075,0.0,0,2,98001,47.3341,-122.28200000000001,0,1,0,4,0.5-1.75,average,52,2,1
39,2014-06-20,2078500320,605000.0,4,2620,7553,0.0,0,3,98056,47.5301,-122.18,0,0,1,4,2-2.5,good,25,6,2
40,2014-07-15,5547700270,625000.0,4,2570,5520,0.0,0,3,98074,47.6145,-122.027,0,0,1,4,2-2.5,great,21,7,3
41,2014-08-11,7766200013,775000.0,4,4220,24186,0.0,0,3,98166,47.445,-122.34700000000001,0,1,0,4,2-2.5,good,37,8,3
42,2014-07-07,7203220400,861990.0,5,3595,5639,0.0,0,3,98053,47.6848,-122.016,0,0,1,5_more,2.75_more,great,7,7,3
43,2014-10-28,9270200160,685000.0,3,1570,2280,0.0,0,3,98119,47.6413,-122.36399999999999,0,0,1,3,0.5-1.75,average,99,10,4
44,2014-07-29,1432701230,309000.0,3,1280,9656,0.0,0,4,98058,47.4485,-122.175,0,1,0,3,0.5-1.75,below_average,62,7,3
45,2014-07-18,8035350320,488000.0,3,3160,13603,0.0,0,3,98019,47.7443,-121.977,0,0,1,3,2-2.5,good,18,7,3
46,2015-03-25,8945200830,210490.0,3,990,8528,0.0,0,3,98023,47.3066,-122.37100000000001,0,0,0,3,0.5-1.75,below_average,55,3,1
47,2014-07-16,4178300310,785000.0,4,2290,13416,0.0,0,4,98007,47.6194,-122.15100000000001,0,0,1,4,2-2.5,great,40,7,3
48,2015-04-28,9215400105,450000.0,3,1250,5963,0.0,0,4,98115,47.6796,-122.301,0,0,0,3,0.5-1.75,average,68,4,2
49,2015-03-11,822039084,1350000.0,3,2753,65005,1.0,1,5,98070,47.4041,-122.45100000000001,0,1,0,3,2-2.5,great,68,3,1
50,2014-09-16,5245600105,228000.0,3,1190,9199,0.0,0,3,98148,47.4258,-122.322,0,0,0,3,0.5-1.75,average,66,9,3
51,2015-02-17,7231300125,345000.0,5,3150,9134,0.0,0,4,98056,47.4934,-122.189,0,1,0,5_more,2-2.5,good,55,2,1
52,2014-12-31,7518505990,600000.0,3,1410,4080,0.0,0,4,98117,47.6808,-122.384,0,1,0,3,0.5-1.75,average,71,12,4
53,2015-02-05,3626039271,585000.0,2,1980,8550,0.0,0,3,98117,47.6989,-122.369,0,1,0,1-2,0.5-1.75,average,40,2,1
54,2015-03-03,4217401195,920000.0,5,2730,6000,0.0,0,3,98105,47.6571,-122.281,0,1,1,5_more,2-2.5,good,94,3,1
55,2014-05-12,9822700295,885000.0,4,2830,5000,0.0,0,3,98105,47.6597,-122.29,0,0,1,4,2-2.5,great,26,5,2
56,2014-08-19,9478500640,292500.0,4,2250,4495,0.0,0,3,98042,47.3663,-122.11399999999999,0,0,1,4,2-2.5,average,13,8,3
57,2015-04-07,2799800710,301000.0,3,2420,4750,0.0,0,3,98042,47.3663,-122.12200000000001,0,0,1,3,2-2.5,good,18,4,2
58,2014-08-27,7922800400,951000.0,5,3250,14342,0.0,1,4,98008,47.588,-122.116,0,0,1,5_more,2.75_more,good,53,8,3
59,2015-02-23,8079040320,430000.0,4,1850,9976,0.0,0,3,98059,47.5059,-122.149,0,0,1,4,2.75_more,good,30,2,1
60,2014-12-10,1516000055,650000.0,3,2150,21235,0.0,1,4,98166,47.4336,-122.339,0,1,0,3,2-2.5,good,62,12,4
61,2014-08-28,9558200045,289000.0,3,1260,8400,0.0,0,3,98148,47.4366,-122.335,0,0,0,3,0.5-1.75,average,67,8,3
62,2014-10-21,5072410070,505000.0,3,2519,8690,0.0,0,5,98166,47.4428,-122.344,0,0,1,3,0.5-1.75,good,48,10,4
63,2014-12-07,9528102996,549000.0,3,1540,1044,0.0,0,3,98115,47.6765,-122.32,0,0,1,3,0.5-1.75,good,7,12,4
64,2014-06-03,1189001180,425000.0,3,1660,6000,0.0,0,3,98122,47.6113,-122.29700000000001,0,1,0,3,2-2.5,average,42,6,2
65,2014-11-20,3253500160,317625.0,3,2770,3809,0.0,0,5,98144,47.5747,-122.304,0,1,1,3,2.75_more,average,96,11,4
66,2014-09-09,3394100030,975000.0,4,2720,11049,0.0,0,3,98004,47.5815,-122.19200000000001,0,0,1,4,2-2.5,great,32,9,3
67,2014-10-09,3717000160,287000.0,4,2240,4648,0.0,0,3,98001,47.3378,-122.257,0,0,1,4,2-2.5,average,16,10,4
68,2014-08-25,1274500060,204000.0,3,1000,12070,0.0,0,4,98042,47.3621,-122.11,0,0,0,3,0.5-1.75,average,53,8,3
69,2014-06-12,1802000060,1330000.0,5,3200,20158,0.0,0,3,98004,47.6303,-122.215,0,1,0,5_more,2-2.5,good,56,6,2
70,2014-09-12,1525059190,1040000.0,5,4770,50094,0.0,0,4,98005,47.6525,-122.16,0,1,0,5_more,2.75_more,great,48,9,3
71,2015-01-05,1049000060,325000.0,3,1260,5612,0.0,0,4,98034,47.7362,-122.179,0,0,0,3,2-2.5,average,49,1,1
72,2014-06-10,8820901275,571000.0,4,2750,7807,0.0,0,5,98125,47.7168,-122.287,0,1,1,4,2-2.5,average,105,6,2
73,2014-07-10,5416510140,360000.0,4,2380,5000,0.0,0,3,98038,47.3608,-122.036,0,0,1,4,2-2.5,good,16,7,3
74,2015-03-16,3444100400,349000.0,3,1790,50529,0.0,0,5,98042,47.3511,-122.073,0,1,0,3,0.5-1.75,average,56,3,1
75,2014-11-05,3276920270,832500.0,4,3430,35102,0.0,0,4,98075,47.5822,-121.98700000000001,0,1,1,4,2.75_more,great,35,11,4
76,2014-10-13,4036801170,380000.0,4,1760,7300,0.0,0,3,98008,47.6034,-122.125,0,1,0,4,0.5-1.75,average,65,10,4
77,2015-04-20,2391600320,480000.0,3,1040,5060,0.0,0,3,98116,47.5636,-122.39399999999999,0,0,0,3,0.5-1.75,average,80,4,2
78,2014-06-09,6300000287,410000.0,3,1410,5060,0.0,0,4,98133,47.7073,-122.34,0,1,0,3,0.5-1.75,average,65,6,2
79,2015-03-23,1531000030,720000.0,4,3450,39683,0.0,0,3,98010,47.342,-122.025,0,0,1,4,2-2.5,great,19,3,1
80,2014-12-02,5104520400,390000.0,3,2350,5100,0.0,0,3,98038,47.3512,-122.008,0,0,1,3,2-2.5,good,18,12,4
81,2014-12-22,7437100340,360000.0,4,1900,5889,0.0,0,3,98038,47.349,-122.031,0,0,1,4,2-2.5,average,29,12,4
82,2014-10-28,9418400240,355000.0,2,2020,6720,0.0,0,3,98118,47.5474,-122.291,0,1,0,1-2,0.5-1.75,average,73,10,4
83,2015-01-28,1523059105,356000.0,3,1680,8712,0.0,0,3,98059,47.4811,-122.149,0,0,0,3,0.5-1.75,good,57,1,1
84,2014-06-02,1133000671,315000.0,3,960,6634,0.0,0,3,98125,47.7264,-122.31,0,0,0,3,0.5-1.75,below_average,69,6,2
85,2014-11-14,4232902595,940000.0,3,2140,3600,0.0,0,3,98119,47.6337,-122.365,0,1,1,3,0.5-1.75,great,96,11,4
86,2014-11-03,2599001200,305000.0,5,2660,8400,0.0,0,5,98092,47.2909,-122.189,0,0,1,5_more,2-2.5,average,60,11,4
87,2014-06-18,3342103156,461000.0,3,2770,6278,0.0,0,3,98056,47.5228,-122.199,0,1,1,3,2.75_more,great,15,6,2
88,2014-05-19,1332700270,215000.0,2,1610,2040,0.0,0,4,98056,47.518,-122.194,0,0,1,1-2,2-2.5,average,42,5,2
89,2014-09-04,3869900162,335000.0,2,1030,1066,0.0,0,3,98136,47.5394,-122.387,0,1,1,1-2,0.5-1.75,average,15,9,3
90,2014-05-22,2791500270,243500.0,4,1980,7403,0.0,0,3,98023,47.2897,-122.37200000000001,0,0,1,4,2-2.5,average,33,5,2
91,2015-03-11,5036300431,1100000.0,5,3520,6353,0.0,0,4,98199,47.6506,-122.391,0,0,1,5_more,2.75_more,great,20,3,1
92,2015-02-26,4168000060,153000.0,3,1200,10500,0.0,0,3,98023,47.321999999999996,-122.351,0,0,0,3,0.5-1.75,average,59,2,1
93,2014-12-23,6021501535,700000.0,3,1580,5000,0.0,0,3,98117,47.687,-122.38600000000001,0,1,0,3,0.5-1.75,good,82,12,4
94,2014-09-08,1483300570,905000.0,4,3300,10250,0.0,0,3,98040,47.5873,-122.249,1,1,0,4,2-2.5,average,75,9,3
95,2015-03-30,3422049190,247500.0,3,1960,15681,0.0,0,3,98032,47.3576,-122.277,0,0,0,3,0.5-1.75,average,54,3,1
96,2014-09-12,1099611230,199000.0,4,1160,6400,0.0,0,4,98023,47.3036,-122.37799999999999,0,0,0,4,0.5-1.75,average,46,9,3
97,2014-07-11,722079104,314000.0,3,1810,41800,0.0,0,5,98038,47.4109,-121.958,0,1,0,3,0.5-1.75,average,41,7,3
98,2014-05-16,7338200240,437500.0,3,2320,36847,0.0,1,3,98045,47.4838,-121.714,0,0,1,3,2-2.5,great,29,5,2
99,2014-06-11,1952200240,850830.0,3,2070,13241,0.0,0,5,98102,47.6415,-122.315,0,1,1,3,2-2.5,great,111,6,2
100,2014-10-27,5200100125,555000.0,3,1980,3478,0.0,0,4,98117,47.6775,-122.37200000000001,0,1,1,3,2-2.5,average,92,10,4
101,2014-12-12,7214720075,699950.0,3,2190,107593,0.0,0,4,98077,47.7731,-122.08,0,0,1,3,2-2.5,good,38,12,4
102,2014-10-07,2450000295,1090000.0,3,2920,8113,0.0,0,3,98004,47.5814,-122.196,1,0,1,3,2-2.5,good,71,10,4
103,2014-09-24,6197800045,290000.0,3,1210,33919,0.0,0,3,98058,47.4375,-122.184,0,0,0,3,0.5-1.75,average,67,9,3
104,2015-04-02,1328310370,375000.0,3,2340,10005,0.0,0,4,98058,47.4431,-122.133,0,1,0,3,2-2.5,good,43,4,2
105,2014-05-23,546000875,460000.0,3,1670,4005,0.0,0,4,98117,47.6878,-122.38,0,1,1,3,0.5-1.75,average,82,5,2
106,2014-07-23,3530510041,188500.0,2,1240,2493,0.0,0,4,98198,47.3813,-122.322,0,0,0,1-2,0.5-1.75,good,36,7,3
107,2015-03-05,1853000400,680000.0,4,3140,28037,0.0,0,4,98077,47.7304,-122.08200000000001,0,0,1,4,2-2.5,great,30,3,1
108,2014-08-27,3134100116,470000.0,5,2030,12342,0.0,0,4,98052,47.6417,-122.109,0,0,1,5_more,0.5-1.75,average,79,8,3
109,2014-07-25,9545230140,597750.0,4,2310,9624,0.0,0,3,98027,47.5386,-122.053,0,0,1,4,2-2.5,good,37,7,3
110,2015-03-04,3362400511,570000.0,3,1260,3328,0.0,0,5,98103,47.6823,-122.34899999999999,0,1,0,3,0.5-1.75,below_average,116,3,1
111,2014-09-16,2525310310,272500.0,3,1540,12600,0.0,0,4,98038,47.3624,-122.031,0,0,0,3,0.5-1.75,average,41,9,3
112,2014-11-24,6126500060,329950.0,3,2080,5969,0.0,1,3,98108,47.5474,-122.295,0,1,0,3,0.5-1.75,average,50,11,4
113,2014-10-28,8961960160,480000.0,4,3230,16171,0.0,0,3,98001,47.3183,-122.25299999999999,0,1,1,4,2-2.5,great,20,10,4
114,2014-11-21,3626039325,740500.0,3,4380,6350,0.0,0,3,98117,47.6981,-122.368,0,0,1,3,2.75_more,good,121,11,4
115,2014-06-26,3362400431,518500.0,3,1590,1102,0.0,0,3,98103,47.6824,-122.34700000000001,0,0,1,3,2.75_more,good,11,6,2
116,2014-06-23,4060000240,205425.0,2,880,6780,0.0,0,4,98178,47.5009,-122.24799999999999,0,0,0,1-2,0.5-1.75,below_average,76,6,2
117,2015-01-08,3454800060,171800.0,4,1570,9600,0.0,0,3,98168,47.4965,-122.303,0,0,0,4,2-2.5,below_average,71,1,1
118,2015-05-11,1695900060,535000.0,4,1610,2982,0.0,0,4,98144,47.586999999999996,-122.294,0,0,1,4,0.5-1.75,average,96,5,2
119,2015-01-02,7278700070,660000.0,3,2400,6474,0.0,1,3,98177,47.7728,-122.38600000000001,0,1,0,3,2-2.5,good,57,1,1
120,2014-11-19,6675500070,391500.0,3,1450,9132,0.0,0,3,98034,47.7288,-122.226,0,0,0,3,2-2.5,average,34,11,4
121,2015-04-06,3626039187,395000.0,2,770,6000,0.0,0,3,98117,47.6999,-122.36399999999999,0,0,0,1-2,0.5-1.75,below_average,68,4,2
122,2014-11-04,3524049083,445000.0,4,2100,4400,0.0,0,5,98118,47.5299,-122.266,0,1,1,4,0.5-1.75,average,97,11,4
123,2014-06-18,3275860240,770000.0,3,2910,10204,0.0,0,3,98052,47.6897,-122.098,0,0,1,3,2-2.5,great,31,6,2
124,2015-03-02,4389200955,1450000.0,4,2750,17789,0.0,0,3,98004,47.6141,-122.212,1,1,1,4,2.75_more,good,107,3,1
125,2014-07-17,4058801670,445000.0,3,2100,8201,0.0,1,3,98178,47.5091,-122.244,0,1,0,3,2-2.5,good,54,7,3
126,2014-07-17,8732020310,260000.0,4,2160,8811,0.0,0,3,98023,47.3129,-122.39,0,1,0,4,2-2.5,good,43,7,3
127,2014-06-13,2331300505,822500.0,5,2320,4960,0.0,0,5,98103,47.6763,-122.352,0,1,1,5_more,2.75_more,average,95,6,2
128,2015-04-06,7853210060,430000.0,4,2070,4310,0.0,0,3,98065,47.5319,-121.85,0,0,1,4,2-2.5,average,17,4,2
129,2015-01-05,3668000070,212000.0,3,1060,7875,0.0,0,4,98092,47.2761,-122.152,0,0,0,3,0.5-1.75,average,35,1,1
130,2015-04-28,9545240070,660500.0,4,2010,9603,0.0,0,3,98027,47.5343,-122.054,0,1,0,4,2-2.5,good,35,4,2
131,2014-06-12,1243100136,784000.0,3,3950,111078,0.0,0,3,98052,47.696999999999996,-122.072,0,1,1,3,2.75_more,great,32,6,2
132,2014-05-12,8929000270,453246.0,3,2010,2287,0.0,0,3,98029,47.5517,-121.99799999999999,0,1,1,3,2-2.5,good,7,5,2
133,2015-01-26,2767602356,675000.0,4,2140,2278,0.0,0,3,98107,47.6734,-122.38,0,0,1,4,2.75_more,great,16,1,1
134,2014-08-13,921049315,199000.0,3,1320,17390,0.0,0,4,98003,47.3257,-122.296,0,0,0,3,0.5-1.75,average,65,8,3
135,2014-08-05,3655000070,220000.0,4,2020,7840,0.0,0,3,98003,47.3309,-122.29899999999999,0,1,0,4,0.5-1.75,average,53,8,3
136,2014-05-29,4027700812,452000.0,4,2590,10002,0.0,0,4,98028,47.7689,-122.266,0,1,0,4,2-2.5,good,53,5,2
137,2014-07-07,3992700335,382500.0,2,1190,4440,0.0,0,3,98125,47.7135,-122.287,0,0,0,1-2,0.5-1.75,below_average,40,7,3
138,2014-05-07,2767603505,519950.0,3,1170,1249,0.0,0,3,98107,47.6722,-122.381,0,0,1,3,2-2.5,good,7,5,2
139,2014-06-27,4232901525,665000.0,2,1110,3200,0.0,0,3,98119,47.6338,-122.35799999999999,0,0,0,1-2,0.5-1.75,average,96,6,2
140,2014-07-08,1777500060,527700.0,5,2820,9375,0.0,0,4,98006,47.5707,-122.12799999999999,0,1,0,5_more,2-2.5,good,53,7,3
141,2015-05-08,1432900240,205000.0,3,1610,8579,0.0,0,4,98058,47.4563,-122.171,0,1,0,3,0.5-1.75,average,59,5,2
142,2015-04-15,6140100875,420000.0,3,1060,8097,0.0,0,4,98133,47.7144,-122.351,0,1,0,3,0.5-1.75,average,98,4,2
143,2015-02-27,6071600370,500000.0,4,2030,8517,0.0,0,4,98006,47.5495,-122.17399999999999,0,1,0,4,2-2.5,good,60,2,1
144,2014-12-03,1526069017,921500.0,4,3670,315374,0.0,0,4,98077,47.7421,-122.02600000000001,0,0,1,4,2-2.5,great,27,12,4
145,2014-06-25,809001525,890000.0,4,2550,4000,0.0,0,3,98109,47.6354,-122.353,0,1,1,4,0.5-1.75,good,116,6,2
146,2014-08-06,3224079105,430000.0,2,2420,60984,0.0,0,3,98027,47.5262,-121.943,0,0,1,1-2,2-2.5,average,14,8,3
147,2014-10-30,8075400570,258000.0,5,2260,12500,0.0,0,4,98032,47.3887,-122.286,0,1,0,5_more,2-2.5,good,61,10,4
148,2014-11-04,1994200024,511000.0,3,1430,3455,0.0,0,3,98103,47.6873,-122.336,0,1,0,3,0.5-1.75,average,74,11,4
149,2014-08-20,3362900810,532170.0,3,1360,3090,0.0,0,3,98103,47.6838,-122.353,0,0,1,3,2-2.5,good,31,8,3
150,2015-04-09,1324300398,560000.0,3,1110,5000,0.0,0,3,98107,47.655,-122.359,0,0,1,3,0.5-1.75,average,74,4,2
151,2015-03-31,537000445,282950.0,3,1250,8200,0.0,0,4,98003,47.3255,-122.304,0,0,0,3,0.5-1.75,average,67,3,1
152,2015-04-01,7855801670,2250000.0,4,5180,19850,0.0,1,3,98006,47.562,-122.162,0,1,1,4,2.75_more,great,15,4,2
153,2014-05-16,7920100045,350000.0,1,700,5100,0.0,0,3,98115,47.678999999999995,-122.3,0,0,0,1-2,0.5-1.75,average,79,5,2
154,2014-07-28,8960000030,215000.0,3,1180,7669,0.0,0,4,98058,47.4479,-122.176,0,0,0,3,0.5-1.75,average,54,7,3
155,2014-11-20,6388930390,650000.0,5,3960,25245,0.0,0,3,98056,47.525,-122.17200000000001,0,1,1,5_more,2.75_more,great,25,11,4
156,2014-08-07,8731900200,320000.0,4,2640,7500,0.0,0,3,98023,47.3135,-122.369,0,1,0,4,2.75_more,good,54,8,3
157,2014-11-13,8029200135,247000.0,3,1270,7198,0.0,0,3,98022,47.2086,-121.99600000000001,1,0,1,3,2-2.5,average,105,11,4
158,2014-10-03,1081200350,320000.0,4,1760,11180,0.0,0,4,98059,47.4715,-122.118,0,0,0,4,0.5-1.75,good,53,10,4
159,2014-05-07,84000105,255000.0,5,2060,8632,0.0,0,3,98146,47.4877,-122.335,0,1,0,5_more,2-2.5,average,59,5,2
160,2015-03-09,3756500060,438000.0,3,1780,9660,0.0,0,3,98034,47.7171,-122.193,0,0,0,3,0.5-1.75,average,59,3,1
161,2015-03-04,7215720160,900000.0,3,3400,16603,0.0,0,3,98075,47.6012,-122.023,0,0,1,3,2-2.5,great,21,3,1
162,2014-06-20,3574800520,441000.0,3,1910,7280,0.0,0,3,98034,47.7319,-122.22399999999999,0,1,0,3,2.75_more,average,42,6,2
163,2014-08-12,2617300160,420000.0,3,2020,38332,0.0,0,4,98027,47.4582,-122.023,0,1,0,3,2-2.5,average,46,8,3
164,2014-12-08,2558660270,370000.0,3,1580,7000,0.0,0,3,98034,47.7209,-122.16799999999999,0,1,0,3,0.5-1.75,average,45,12,4
165,2015-02-19,2009000370,269950.0,2,1340,7250,0.0,0,5,98198,47.408,-122.32700000000001,0,1,0,1-2,0.5-1.75,below_average,72,2,1
166,2015-03-24,1836980160,807100.0,4,2680,4499,0.0,0,3,98006,47.565,-122.125,0,0,1,4,2-2.5,great,22,3,1
167,2014-06-05,3261020370,653000.0,3,2680,9750,0.0,0,4,98034,47.7028,-122.23100000000001,0,1,0,3,2-2.5,good,42,6,2
168,2014-06-11,1755700060,371500.0,3,1370,8336,0.0,0,5,98133,47.7458,-122.331,0,0,0,3,2-2.5,average,57,6,2
169,2015-03-16,4330600435,284000.0,3,1560,21000,0.0,0,3,98166,47.4776,-122.337,0,0,0,3,0.5-1.75,average,67,3,1
170,2015-01-02,9542800700,272000.0,3,2160,7140,0.0,0,4,98023,47.3026,-122.374,0,1,0,3,0.5-1.75,average,43,1,1
171,2014-05-02,1999700045,313000.0,3,1340,7912,0.0,0,3,98133,47.7658,-122.339,0,0,1,3,0.5-1.75,average,66,5,2
172,2015-01-16,1762600070,917500.0,4,3880,35003,0.0,0,3,98033,47.6477,-122.182,0,1,1,4,2-2.5,great,37,1,1
173,2014-09-29,1687900520,673000.0,4,2590,8190,0.0,0,4,98006,47.5619,-122.125,0,0,1,4,2-2.5,good,41,9,3
174,2015-02-10,7234600798,425000.0,3,1120,1100,0.0,0,3,98122,47.6106,-122.31,0,1,1,3,2-2.5,good,13,2,1
175,2014-07-09,3881900445,399950.0,5,1970,5400,0.0,0,3,98144,47.5868,-122.30799999999999,0,1,0,5_more,2.75_more,average,35,7,3
176,2014-05-30,2254502445,385000.0,3,1220,4800,0.0,0,3,98122,47.6101,-122.307,0,0,0,3,0.5-1.75,below_average,120,5,2
177,2014-11-17,5437810320,269950.0,3,1950,7560,0.0,1,4,98022,47.1976,-121.999,0,1,0,3,0.5-1.75,average,46,11,4
178,2015-01-07,9158100075,330000.0,2,1350,8220,0.0,0,3,98177,47.7224,-122.35799999999999,0,1,0,1-2,0.5-1.75,average,72,1,1
179,2014-07-25,3830630310,260000.0,3,1670,5797,0.0,0,3,98030,47.3505,-122.179,0,0,1,3,2-2.5,average,33,7,3
180,2015-04-14,8123100045,470000.0,4,2380,5125,0.0,0,4,98126,47.5384,-122.376,0,1,1,4,2.75_more,average,96,4,2
181,2014-06-13,3127200041,589000.0,4,2440,9600,0.0,0,5,98034,47.7044,-122.2,0,0,1,4,2.75_more,average,60,6,2
182,2014-07-23,6661200320,163500.0,2,1050,3419,0.0,0,3,98038,47.3848,-122.039,0,0,1,1-2,0.5-1.75,average,25,7,3
183,2014-09-05,11510310,835000.0,4,3130,13412,0.0,0,3,98052,47.6993,-122.102,0,1,1,4,2.75_more,great,28,9,3
184,2014-11-21,825059270,1100000.0,5,4090,12850,0.0,1,4,98033,47.6627,-122.18799999999999,0,1,0,5_more,2.75_more,great,35,11,4
185,2015-04-15,8731951370,269000.0,4,1490,10000,0.0,0,4,98023,47.3099,-122.37899999999999,0,1,0,4,0.5-1.75,good,52,4,2
186,2014-05-05,1954440060,560000.0,3,1900,8744,0.0,0,3,98074,47.62,-122.04299999999999,0,0,1,3,2-2.5,good,34,5,2
187,2015-04-18,2264500350,615000.0,4,1330,2400,0.0,0,4,98103,47.65,-122.34,0,0,1,4,0.5-1.75,below_average,120,4,2
188,2014-12-05,1115810060,585188.0,3,2230,10026,0.0,0,3,98052,47.6647,-122.15299999999999,0,1,0,3,2-2.5,good,46,12,4
189,2014-08-18,9477200200,305000.0,3,1650,9480,0.0,0,3,98034,47.726000000000006,-122.191,0,1,0,3,0.5-1.75,average,44,8,3
